Etunimi;Lukumäärä
Aristoteles;11
Aristotelis;5
Ari-Tapani;11
Ari-Tapio;9
Ari-Veikko;17
Ari-Veli;9
Ari-Ville;17
Arjan;12
Arje;12
Arjen;7
Arjo;45
Arjun;12
Arkadi;21
Arkadius;7
Arkadiusz;5
Arkady;6
Arkan;19
Arkko;14
Arko;7
Arlen;5
Arlind;15
Arlo;39
Armaan;9
Arman;136
Armand;30
Armando;84
Armani;15
Armas;16750
Armen;10
Armend;22
Armi;16
Armin;83
Armir;5
Armo;113
Arn;31
Arnaud;13
Arnav;8
Arndt;15
Arne;1188
Arnel;5
Arnes;6
Arneson;5
Arni;47
Arno;623
Arnold;509
Arnon;5
Arnulf;9
Aro;45
Aron;860
Áron;21
Aros;6
Arpad;9
Árpád;7
Arpia;9
Arpo;10
Arran;6
Arre;7
Arri;14
Arro;5
Arron;7
Arsalan;16
Arsen;12
Arseni;40
Arsenii;14
Arsenij;18
Arsenio;6
Arseniy;6
Arseny;15
Arshad;8
Arshan;6
Arshed;5
Arsi;504
Arsim;11
Arska;6
Arslan;12
Arssi;16
Art;21
Artan;21
Arte;14
Artem;192
Artemi;49
Artemii;6
Artemij;5
Artemiy;6
Arthur;1368
Arti;5
Artin;35
Artjom;54
Arto;18671
Arto-Matti;5
Arton;19
Artonpoika;95
Arto-Pekka;16
Artour;5
Artte;5
Artti;64
Artto;28
Arttu;10928
Arttu-Aleksi;5
Arttu-Eemeli;13
Arttu-Matti;9
Arttu-Mikael;5
Arttu-Oskari;11
Arttu-Pekka;38
Arttu-Petteri;8
Arttur;262
Artturi;8930
Arttu-Ville;7
Artunpoika;22
Artur;958
Arturo;50
Artyom;6
Arun;24
Arve;8
Arvi;3520
Arvid;2935
Arviid;17
Arviidi;9
Arviiti;25
Arvin;44
Arvind;9
Arvo;6970
Arvonpoika;8
Arwid;23
Arwin;5
Arya;5
Aryan;44
Asa;38
Asaad;21
Asad;78
Asadullah;6
Asael;5
Asaf;10
Asante;6
Asare;6
Asarias;93
Asbjörn;7
Asbjørn;5
Ased;5
Asef;6
Asghar;11
Ashenafi;6
Asher;19
Ashish;10
Ashkan;10
Ashley;12
Ashok;10
Ashraf;28
Ashton;18
Ashwin;5
Asif;17
Asil;9
Asim;13
Asir;6
Asis;5
Ask;6
Askal;10
Askhab;5
Asko;6182
Askold;5
Askonpoika;50
Asko-Pekka;6
Asla;174
Aslak;1540
Aslakka;5
Aslakki;11
Aslam;8
Aslan;156
Asle;5
Ásllat;9
Asmir;5
Asmo;433
Asmund;5
Aso;21
Ässä;7
Assad;7
Assar;42
Assari;11
Asse;12
Asseevi;5
Assefa;6
Asser;1881
Asseri;822
Aster;5
Asterix;14
Astley;6
Asto;18
Aston;93
Astor;40
Astrit;10
Astro;8
Ata;27
Atakan;12
Atanas;12
Ate;77
Atef;19
Atem;9
Atenpoika;26
Ateya;5
Athanasios;15
Athos;11
Ati;22
Atif;7
Atik;11
Atila;7
Atilla;31
Atlas;101
Atle;110
Ato;10
Aton;6
Atos;24
Atri;26
Atro;248
Atso;744
Atta;6
Atte;6703
Atte-Eemeli;5
Atte-Matias;5
Atte-Oskari;12
Atte-Pekka;10
Atte-Petteri;7
Atte-Ville;6
Atti;6
Atticus;11
Attila;76
Atto;6
Attu;5
Auer;10
August;5351
Auguste;12
Augusti;398
Augustin;48
Augustine;19
Augustino;5
Augustinus;15
Augusto;47
Augustus;43
Auku;20
Aukust;50
Aukusti;9701
Auli;8
Aulis;11910
Aulo;9
Aung;14
Auno;176
Aunus;27
Aurel;16
Aureliano;6
Aurelio;35
Aurelius;47
Auri;18
Aurinko;13
Auro;10
Auron;6
Aurora;14
Aus;5
Austin;37
Auvo;1238
Auvonpoika;12
Avery;6
Avi;15
Aviel;8
Aviv;7
Avni;17
Avraham;13
Avram;6
Awad;25
Awat;8
Aweis;21
Aweys;14
Awil;31
Aws;12
Axel;3804
Axeli;18
Axl;48
Axu;17
Ayaan;13
Ayaanle;6
Ayad;24
Ayan;10
Ayanle;11
Ayaz;12
Aydan;5
Ayden;14
Aydin;37
Aye;8
Ayham;7
Ayhan;19
Aykut;8
Ayman;91
Aymen;7
Ayo;8
Ayobami;6
Ayodeji;7
Ayodele;12
Ayomide;13
Ayomikun;5
Ayoub;41
Ayrton;14
Ayub;56
Ayuub;52
Ayyub;6
Azaan;5
Azad;65
Azam;6
Azat;7
Azeddine;5
Azeem;6
Azeez;7
Azhar;12
Azim;10
Aziz;109
Azizullah;7
Azzeddine;5
Ba;29
Baba;5
Babak;19
Babatunde;13
Baboucarr;13
Babu;5
Bach;7
Bachir;8
Badal;10
Badara;5
Bader;8
Badr;15
Bahaa;13
Bahadur;19
Bahgat;5
Bahir;5
Bahman;16
Bahoz;6
Bahram;14
Bahri;9
Bai;6
Bailey;13
Bajram;17
Bakar;13
Bakari;8
Bakary;13
Baker;7
Bakhtiar;17
Baki;8
Bakir;10
Bakr;12
Balasim;5
Balázs;8
Balder;9
Balen;7
Baltazar;7
Balthasar;9
Bamidele;8
Bang;5
Bao;53
Baptiste;6
Baqer;5
Baraa;5
Baraka;6
Baran;63
Bardia;5
Barham;14
Baris;32
Barnabas;12
Barnabás;6
Barre;8
Barry;22
Bart;11
Bartolomeus;6
Bartosz;6
Baruch;6
Barzan;7
Basel;5
Bashar;20
Bashiir;23
Bashir;99
Bashkim;13
Basil;31
Basilius;31
Basim;10
Basir;7
Basit;6
Basita;6
Basri;9
Bassam;24
Bassem;10
Bastiaan;5
Bastian;114
Bator;5
Battista;6
Batu;16
Batuhan;11
Bayram;26
Bear;7
Beat;7
Beau;7
Bechir;8
Beck;7
Bedirhan;11
Bedri;16
Behar;14
Behnam;13
Behrouz;6
Behzad;14
Bekim;25
Bekir;17
Béla;21
Belal;15
Ben;1015
ben;23
Benaja;9
Bence;7
Benedek;7
Benedict;68
Benedictus;10
Benedikt;47
Ben-Erik;12
Bengt;2191
Bengt-Åke;5
Bengt-Erik;36
Bengt-Göran;10
Bengt-Johan;16
Bengt-Olof;14
Bengt-Ove;5
Bengtson;5
Bengtsson;18
Benhard;23
Beni;17
Beniamin;8
Benito;18
Benja;15
Benjam;866
Benjami;746
Benjamin;11332
Benji;6
Benn;10
Benne;6
Bennet;18
Bennett;12
Benni;5
Benno;17
Benny;336
Benoit;7
Ben-Olof;5
Bent;9
Bentley;8
Benyam;6
Benyamin;44
Berat;48
Berg;5
Berk;22
Berkan;8
Berkay;8
Bernard;86
Bernardo;20
Bernd;23
Berndt;369
Berndt-Gustaf;5
Berndt-Johan;5
Berndtsson;6
Berner;5
Bernhard;1438
Bernt;364
Bero;8
Bert;82
Bertel;894
Bertelsson;11
Berthold;9
Bertil;573
Bertram;6
Bertrand;10
Besart;18
Beshir;5
Besian;5
Besim;20
Besmir;5
Besnik;20
Bewar;5
Bharat;5
Bijan;7
Bilaal;19
Bilal;147
Bile;18
Bilel;5
Bill;58
Billy;46
Bin;26
Binh;36
Biniam;7
Binyamin;6
Bior;5
Birger;1377
Birgersson;19
Birhat;5
Birk;54
Birol;5
Bishal;7
Bishnu;8
Bjarne;823
Bjorn;10
Björn;1702
Bjørn;15
Björn-Erik;34
Björn-Olof;22
Björnson;20
Björnsson;26
Blair;8
Blaise;5
Blake;23
Blend;7
Blendi;9
Bleon;5
Blerim;14
Bleron;7
Blessing;10
Blue;12
Bo;1667
Bo-Anders;18
Bob;50
Bobby;18
Bobi;5
Bobo;6
Bo-Christer;5
Boe;5
Bo-Eric;8
Bo-Erik;167
Boes;13
Bogale;5
Bogdan;46
Bogislaus;10
Bo-Göran;57
Bo-Gunnar;12
Bo-Gustav;13
Bo-Håkan;11
Bo-Henrik;9
Bojan;9
Bo-Johan;15
Boleslaw;9
Bo-Magnus;5
Bo-Mikael;5
Bo-Peter;5
Bora;12
Boran;10
Bore;27
Börge;5
Borhan;7
Boris;652
Börje;1241
Börjesson;10
Bosco;5
Bosson;10
Botan;6
Botond;7
Botvid;6
Boualem;7
Boubaker;5
Bouchaib;6
Bo-Viking;5
Bowen;7
Boy;19
Boyd;5
Bradford;5
Bradley;24
Brady;6
Brage;62
Brahim;41
Brandon;91
Branko;8
Brayan;10
Brayden;9
Brendan;30
Brendon;7
Brent;8
Bret;5
Brett;17
Brian;173
Bright;8
Bronislaw;5
Bronson;5
Brooklyn;9
Bror;1232
Bror-Åke;6
Bror-Eric;6
Bror-Erik;76
Bror-Johan;5
Brown;6
Bruce;64
Bruck;7
Bruno;663
Bruuno;35
Bryan;52
Brynolf;127
Bu;6
Bubacarr;5
Bujar;22
Bülent;21
Bulut;6
Burak;29
Bure;8
Burhan;40
Burim;7
Burkhard;6
Burton;5
Buster;16
Buule;6
Byron;18
C;8
Caesar;15
Cahit;7
Cai;29
Caijus;7
Cain;7
Caio;6
Caius;141
Caj;258
Caj-Erik;9
Cajus;19
Caleb;41
Calle;88
Callum;10
Calvin;50
Cameron;66
Camil;5
Camille;6
Camillo;10
Camilo;43
Campbell;21
Can;111
Caner;9
Cao;16
Carel;7
Carim;6
Carl;4470
Carl-Åke;6
Carl-Anders;20
Carl-Anton;20
